"source_country_iso3c","exporter_iso3c","consumer_iso3c","total_weight"
"CAN","PAK","WSM",0.164918012903353
"CAN","PHL","WSM",1.22511920525725
"CAN","PNG","DEU",0.934121249373113
"CAN","PNG","ESP",23.6717124327416
"CAN","PNG","GBR",5.5250729057049
"CAN","PNG","ITA",6.64463823091576
"CAN","PNG","THA",1.80011488333195
"CAN","PNG","TWN",0.721203201637147
"CAN","SGP","FJI",0.337191817471821
"CAN","SGP","PNG",0.488715736390316
"CAN","SGP","VUT",0.333104984769751
"CAN","SLB","ESP",1.97881043704811
"CAN","THA","FJI",11.9205660476299
"CAN","THA","PNG",22.5652928064808
"CAN","THA","SLB",0.353254138740715
"CAN","THA","VUT",0.0850415488838587
"CAN","THA","WSM",0.857509183091955
"CAN","TWN","FJI",295.203082822364
"CAN","TWN","MHL",4.28011336022964
"CAN","TWN","PNG",2.06787407848361
"CAN","TWN","SLB",0.142789312024803
"CAN","TWN","VUT",1.87125710595353
"CAN","TWN","WSM",2.39702809333708
"CAN","USA","FJI",114.106468254513
"CAN","USA","NRU",20.8479950035395
"CAN","USA","PNG",2.68710825274787
"CAN","USA","SLB",14.0797708606744
"CAN","USA","TON",119.408382032883
"CAN","USA","WSM",214.074120295021
"CAN","VNM","FJI",0.169379477802936
"CAN","VNM","WSM",0.123789225775703
"CAN","WSM","FJI",0.0689644679215083
"CAN","WSM","JPN",0.34386589996644
"CAN","WSM","NZL",6.08443521512087
"CAN","WSM","USA",1.6487079538346
"CAN","ZAF","FJI",19.667199806613
"CHL","AUS","FJI",0.822706012879506
"CHL","AUS","FSM",2.83921347854937
"CHL","AUS","WSM",18.182093029586
"CHL","CAN","FJI",0.957020131989595
"CHL","CAN","KIR",0.141549960438723
"CHL","CHE","TON",1.79142718044455
"CHL","CHL","FJI",4164.94585301051
"CHL","CHL","FSM",179.453700285423
"CHL","CHL","KIR",80.1733634371368
"CHL","CHL","PNG",154.109901124086
"CHL","CHL","TON",2832.26448156321
"CHL","CHL","VUT",11.4707053114582
"CHL","CHL","WSM",1703.58498075621
"CHL","CHN","FJI",20.4246914068518
"CHL","CHN","FSM",0.420257071573361
"CHL","CHN","KIR",0.166877491329557
"CHL","CHN","MHL",2.84242403673345
"CHL","CHN","PNG",17.5676921950981
"CHL","CHN","TON",0.305842731450254
"CHL","CHN","VUT",1.04059991634207
"CHL","CHN","WSM",19.9847065454805
"CHL","FJI","AUS",14.6004110659532
"CHL","FJI","CAN",1.1074966509589
"CHL","FJI","CHN",3.33088589884441
"CHL","FJI","JPN",30.0506925765602
"CHL","FJI","KIR",5.98173465973413
"CHL","FJI","KOR",0.351223425280679
"CHL","FJI","LKA",81.915317224286
"CHL","FJI","NZL",26.6750021104692
"CHL","FJI","PNG",46.1013035607352
"CHL","FJI","SGP",0.679408870400275
"CHL","FJI","SLB",2.03899416616205
"CHL","FJI","TON",3.05547922472047
"CHL","FJI","TUV",5.11974818778971
"CHL","FJI","TWN",2.41969128909766
"CHL","FJI","USA",30.2564042415858
"CHL","FJI","VUT",121.929653505548
"CHL","FJI","WSM",45.9830733038355
"CHL","IDN","PNG",6.75210905787667
"CHL","IDN","WSM",19.6732926178254
"CHL","JPN","FSM",0.263769565146472
"CHL","JPN","PNG",1.11076302172428
"CHL","KIR","AUS",2.86797841363542
"CHL","KOR","FJI",10.2410863331921
"CHL","KOR","PLW",5.06667059195821
"CHL","KOR","SLB",1.7404186385885
"CHL","MYS","FJI",41.3768764397968
"CHL","MYS","FSM",35.6914468864426
"CHL","MYS","PNG",513.280850821941
"CHL","MYS","SLB",20.7839841773348
"CHL","MYS","TON",2.0704708984248
"CHL","NZL","FJI",47.6861966168751
"CHL","NZL","KIR",0.11723336750499
"CHL","NZL","PNG",10.1687831687815
"CHL","NZL","TON",11.4408430846857
"CHL","NZL","TUV",0.632753286235552
"CHL","NZL","WSM",14.0465802629092
"CHL","PAN","FJI",3.29134513775185
"CHL","PER","FJI",50.8488719522459
"CHL","PER","FSM",36.0253642414173
"CHL","PER","KIR",0.486726097825794
"CHL","PER","WSM",78.7442214721019
"CHL","PNG","DEU",0.59667315626609
"CHL","PNG","ESP",1.10702022692861
"CHL","PNG","GBR",2.40046801224372
"CHL","PNG","ITA",0.21653069940921
"CHL","SGP","FJI",41.5864462555412
"CHL","SGP","FSM",1.13705723075894
"CHL","SGP","KIR",1.33263730977184
"CHL","SGP","PNG",115.452958469628
"CHL","SGP","VUT",272.464547211299
"CHL","SGP","WSM",4.22858496781741
"CHL","THA","FJI",0.193458313101917
"CHL","THA","PNG",0.965396140707041
"CHL","TON","AUS",1.6650662169304
"CHL","TWN","FJI",342.709328790589
"CHL","TWN","FSM",3.11090230538622
"CHL","TWN","MHL",7.9291783883342
"CHL","TWN","PLW",4.6720353610852
"CHL","USA","FJI",10.7260185337922
"CHL","USA","PLW",3.06039429037415
"CHL","USA","TON",57.5378460571482
"CHL","USA","WSM",406.805370427431
"CHL","WSM","FJI",6.01701553584691
"CHL","ZAF","FJI",15.8265464229417
"CHL","ZAF","SLB",1.35598156032506
"CHN","ARE","FJI",0.707375673631335
"CHN","ARE","NRU",0.0259286353842012
"CHN","AUS","FJI",84.1802038830293
"CHN","AUS","FSM",50.6446096600455
"CHN","AUS","KIR",2.89842121616831
"CHN","AUS","NRU",4.36702523441742
"CHN","AUS","PLW",0.193470169762564
"CHN","AUS","PNG",154.593890424085
"CHN","AUS","SLB",1.00775791171359
"CHN","AUS","WSM",153.030494128942
"CHN","CAN","FJI",67.1525476223293
"CHN","CAN","KIR",0.152195560243717
"CHN","CHE","KIR",0.932800948654964
"CHN","CHE","TON",1.44637888058637
"CHN","CHE","WSM",0.100225240379773
